# ABIS-Seq immune-cell RNA-seq signature matrix (Table S5, ABIS-Seq sheet).
# Source: Monaco G, Lee B, Xu W, et al. "RNA-Seq Signatures Normalized by mRNA
#   Abundance Allow Absolute Deconvolution of Human Immune Cell Types."
#   Cell Reports 26(6):1627-1640.e7, 2019. doi:10.1016/j.celrep.2019.01.041; PMID:30726743.
# Provenance: PMC6367568 supplementary file mmc6.xlsx (Table S5), sheet 'ABIS-Seq'.
#   Retrieved via Europe PMC supplementaryFiles endpoint:
#   https://www.ebi.ac.uk/europepmc/webservices/rest/PMC6367568/supplementaryFiles
# Licence: CC BY 4.0 (https://creativecommons.org/licenses/by/4.0/) - the Cell Reports
#   article is open access: "(c) 2019 The Authors. This is an open access article under
#   the CC BY license (http://creativecommons.org/licenses/by/4.0/)." Attribution: Monaco 2019.
# Dimensions: 1296 genes x 17 immune cell types. Values are mRNA-abundance-normalised TPM.
# Format: tab-separated; first non-comment line = header (gene-symbol col + 17 cell-type cols).
Gene symbol	Monocytes C	NK	T CD8 Memory	T CD4 Naive	T CD8 Naive	B Naive	T CD4 Memory	MAIT	T gd Vd2	Neutrophils LD	T gd non-Vd2	Basophils LD	Monocytes NC+I	B Memory	mDCs	pDCs	Plasmablasts
S1PR3	45.720735005602499	0.279002270199044	0.19811025244831201	0.36575058033909102	0.193028507593731	1.5953677394155501	0.339706534652437	0.16360088267013001	0.248811279649232	0.14239217599733001	0.279347816726702	0.21340962986891099	2.0409863830338599	0.50611918424259394	3.9962058331855701	0.29708455225577202	0.615986893012333
RXFP2	17.877398251551099	0	0	0	0	0.24717709503406299	0	0	0	0	0	0.16358914753748999	0.87670988276369799	0.36986944647504999	2.1381345831686298	2.4937802037881599E-2	9.0825788510801794E-2
ADAMTS5	2.55023710372277	0	0	0	0	0	0	0	0	0	0	0	1.46979096906789E-2	0	0.28005504021802602	0	0
CLEC6A	33.695995756633501	0	0	0	0	0.70020679682655496	0	0	0	0.78754715899247796	0	0	1.0972704188875699	0.53498342892559603	16.1869491796045	0	0
FXYD6	114.167642096712	0.47076908915895399	0.183293366797115	0.29084557011970702	0.13653074879207	3.22113607960191	0.63515664843434405	0.41059969443807798	0.52430597680945001	0.22433086724421	0.53407385239164595	5.9585008476603002E-2	10.084376044453199	2.5147974598569101	33.350826741948801	2.4247225435439002	2.3272749287508998
NRG1	142.457346578592	0.194956832846436	0.15270239228718699	0.27906816126046202	0.18129844773008699	4.3580606585335904	0.49434918721047	0.34234195135254097	0	0.56603378480713196	0.55047097771629105	0.81789264357039504	5.9325859469272002	2.7586356835227401	43.091596154495903	0.30212373028883899	6.5958677714105098
PRLR	8.5713063386618504	3.56206336852495E-3	1.36456568189963E-2	1.34844972701168E-2	9.9636510519169504E-3	0.48077113102108399	2.1380180689980099E-2	1.9764420278372601E-2	3.0534034922317901E-2	2.64023134500159E-2	1.08603809174194E-2	2.48489260254393E-2	0.70486645142923599	0.15784915650061601	8.9711532077839398E-2	1.7394253280410998E-2	8.1607564010799299E-2
CLEC5A	33.1098343168103	0	0	0	0	1.2916919162158	0.116823079727378	0	0	1.4605914178300701	0	0	1.90089651498906	0.27189656370710702	10.5695475990702	0	0
VCAN-AS1	70.839182386996498	0.21364070745571101	0	0	0	0.93004548962168698	0	0	0	0	0	0.62297180464981805	4.1289504835085298	0.92439937669571104	88.524483610191496	0	0
C9orf47	3.1544815785945999	0	0	0	0	7.7791484077276596E-2	0	0	0	0	0	0	0	6.3040758019137902E-2	1.12989389484093E-2	0	0
PLA2G7	83.561595394984806	0.41375933865330999	0.18066321926703799	0.25423485466371698	0.31862178044637901	3.8969080364751898	0.27223975104017401	0.40233390257546497	0.104924021363742	0.27821173445001401	0.33237429346355901	0.51322737538226404	7.48807522612731	3.6462242750060501	73.814161301750005	0.84192291052878798	6.6544291527172499
CYP1B1	310.20886755461601	0.129203316733419	1.4660147675331599E-3	3.2134468654524399E-2	0.13491323529566299	13.5586064596319	5.0680298255034797E-2	0.11000725626253301	3.2667883288040198E-2	3.3383971725596	0	0	33.1217709730591	7.1278325278782404	11.719973042741801	0	13.1858091164311
CYP27A1	119.45350342131999	2.1255346748391499E-2	0	0	0	1.62106921406733	1.7587106292432299E-2	0	0	28.716463421193701	0	0	6.9087999273853198	1.4939931665216399	8.4373133127084294	0	3.9378336913569498
IL31RA	4.5732488703324004	3.6785395649856403E-2	4.6883201442317404E-3	3.8691624319501003E-2	4.9139567470367698E-2	0	4.4722614867694202E-2	1.32731955222955E-2	0	5.6093645673568997E-2	5.3303750924302798E-2	6.5006204069236004E-2	0.61821008966397495	2.4955565607406999E-2	0.35544818106579401	2.7783197955090998E-2	0
ASGR2	112.332863314337	0	4.1053167244659503E-2	5.5778460875736201E-2	0	2.0298797089347902	1.5260993917561701E-2	0	0.15208891246878301	0	0	0.160708721041249	8.9990025715258	1.70776516387502	253.372228792518	0.18317141561672701	3.6660780509350901
HPSE	125.599090750014	2.3192912765723901	3.2889654524398901	4.2211830235835404	2.4257150496382001	5.1212715341142099	6.5951309979433503	3.3125262152204802	1.80222605235329	16.9443192359576	3.4406482874444402	0.43115053491012101	16.875415006145801	2.9706070532126798	30.302879012073401	0.96482163329576198	17.597755474504801
RP11-362F19.3	51.598633452933498	0	0	0	0	1.56189148798321	0	0	0	0	0	0	12.0955747597095	0.634338466567826	10.186203830303601	0	0
RPL7AP64	44.5517978070461	0	0	0	0	1.5532813256333999	0	0	0	0	0	0	4.0659055846594798	0.56561334071636604	66.288178588598001	0	1.0613690314129101
RP11-362F19.2	7.9537689470230104	8.3761456169356804E-2	1.17016080615892E-2	5.0546352245199301E-2	0	0.541052730741304	8.4646045362844397E-2	0	8.3195794464095099E-2	2.1192984536379699E-2	8.5189614776308806E-2	3.7463523244463899E-2	2.44453117700106	6.8295819147893802E-2	1.6912197613957201	0.13937454767458901	0.58603928777637204
